location
"West Hollywood, California"
"Enterprise, Nevada"
"Othello, Washington"
"North Barstow, California"
"Cape Canaveral, Florida"
"Jackson, Wyoming"
"Pismo Beach, California"
"Staten Island, New York"
"Hurricane, Utah"
"Saint Helena, California"
"Napa, California"
"Victorville, California"
"Avon Lake, Ohio"
"Marlboro, Massachusetts"
"Calabasas, California"
"Kissimmee, Florida"
"Savannah, Georgia"
"Forest Hills, New York"
"Raleigh, North Carolina"
"Menifee, California"
"Meadview, Arizona"
"Mandan, North Dakota"
"South Titusville, Florida"
"Buffalo, New York"
"Moab, Utah"
"Oljato-Monument Valley, Arizona"
"Lake Minnewaska, New York"
"Island Park, Idaho"
"Crystal Bay, Nevada"
"Pocatello, Idaho"
"Southfield, Michigan"
"White City, Oregon"
"Mountain Pass, California"
"Sacramento, California"
"Rosemont, Illinois"
"Nelson, Nevada"
"Zion National Park, Utah"
"Long Beach, New York"
"Akron, Ohio"
"Sunny Isles Beach, Florida"
"Pewaukee, Wisconsin"
"Pacifica, California"
"Mukilteo, Washington"
"Fort Wayne, Indiana"
"Greenville, South Carolina"
"White Plains, New York"
"Charleston, South Carolina"
"Grand Rapids, Michigan"
"Fairhaven, Washington"
"Wareham, Massachusetts"
"LaGrange, Indiana"
"Lansing, Iowa"
"Portsmouth, New Hampshire"
"North Myrtle Beach, South Carolina"
"Fort Lee, New Jersey"
"Baltimore County, Maryland"
"Eastport, New York"
"Ohio City, Ohio"
"Brownfield, Texas"
"Borrego Springs, California"
"Pemaquid Point, Maine"
"Anderson, South Carolina"
"Avondale, Arizona"
"Mountain House, California"
"Pioneertown, California"
"Cameron, Arizona"
"Albany, New York"
"Tiburon, California"
"Coconino, Arizona"
"Artesia, California"
"Northbrook, Illinois"
"Fountain Valley, California"
"Atlantic Beach, New York"
"Romeoville, Illinois"
"Kanab, Utah"
"Estacada, Oregon"
"Knoxville, Tennessee"
"Venice Beach, Florida"
"Jamestown, North Dakota"
"Virginia Beach, Virginia"
"Sequoia, California"
"Coulee Dam, Washington"
"Medora, North Dakota"
"Charlevoix, Michigan"
"Harrison, New Jersey"
"Morristown, New Jersey"
"San Simeon, California"
"Bismarck, North Dakota"
"Baltimore, Maryland"
"The Wave, Arizona"
"Presque Isle, Michigan"
"Cooperstown, New York"
"Watkins Glen, New York"
"Praha, Texas"
"Vermont, Illinois"
"Calistoga, California"
"Munuscong, Michigan"
"South Miami, Florida"
"Fairplay, Colorado"
"Montauk, New York"
"Fredonia, Arizona"
"Mystic, Connecticut"
"Saugatuck, Michigan"
"Seward, Alaska"
"Essex, California"
"Beatty, Nevada"
"New City, New York"
"East Brunswick, New Jersey"
"Mercer County, New Jersey"
"Sunset Beach, California"
"Virgin, Utah"
"Glenview, Illinois"
"Alpena, Michigan"
"Cannon Beach, Oregon"
"Pahrump, Nevada"
"Montgomery County, Maryland"
"Lone Pine, California"
"Atlanta, Illinois"
"Dublin, California"
"Seekonk, Massachusetts"
"Ruidoso, New Mexico"
"Ithaca, New York"
"Saint Charles, Illinois"
"Torrance, California"
"Klamath Falls, Oregon"
"Como, Colorado"
"Arlington, Texas"
"Johnston, Iowa"
"Central Park, New York"
"Mason, Ohio"
"Buena Vista, Colorado"
"Flamingo, Florida"
"South Padre Island, Texas"
"Horseshoe Bend, Nevada"
"Tusayan, Arizona"
"Sault Ste. Marie, Michigan"
"Soledad, California"
"Goleta, California"
"Moss Point, Mississippi"
"Richmond, Virginia"
"Oakland, California"
"Montgomery, New Jersey"
"Highland Park, Texas"
"Nottingham, Pennsylvania"
"Cheyenne, Wyoming"
"Mobile County, Alabama"
"Glenwood Springs, Colorado"
"Nipton, California"
"Natchez, Mississippi"
"Tukwila, Washington"
"East Nashville, Tennessee"
"Fruita, Utah"
"Springfield, Missouri"
"Downey, Idaho"
"Gaithersburg, Maryland"
"Pulaski, New York"
"Grapevine, Texas"
"Durham, North Carolina"
"Juneau, Alaska"
"Madison County, Virginia"
"Woodbury, Minnesota"
"Hull, Massachusetts"
"Ketchikan, Alaska"
"Corolla, North Carolina"
"Bar Harbor, Maine"
"La Grande, Oregon"
"Pascagoula, Mississippi"
"White Sands, New Mexico"
"Topock, Arizona"
"Gloucester, Massachusetts"
"Tulare, California"
"Chester County, Pennsylvania"
"Elizabeth, New Jersey"
"Brookville, Ohio"
"Put-in-Bay, Ohio"
"Waco, Texas"
"West Palm Beach, Florida"
"Southport, North Carolina"
"Charlottesville, Virginia"
"Rocky Mount, North Carolina"
"Kent, Washington"
"Branson, Missouri"
"Oasis, Nevada"
"Marathon, Florida"
"Hudson, New York"
"Park City, Utah"
"Kitty Hawk, North Carolina"
"Alexandria, Virginia"
"Pescadero, California"
"Sugar Land, Texas"
"Salida, Colorado"
"Granada Hills, California"
"Loudoun County, Virginia"
"Homer Glen, Illinois"
"Santa Rosa, California"
"Skagway, Alaska"
"Ashburn, Virginia"
"Zzyzx, California"
"Universal Studios, Florida"
"Dillon, Colorado"
"Sheridan, Wyoming"
"Bisbee, Arizona"
"Vallejo, California"
"Independence, Colorado"
"Lake, Michigan"
"Boyne Falls, Michigan"
"Fillmore, California"
"Columbia, South Carolina"
"Chula Vista, California"
"Bonita Springs, Florida"
"Petoskey, Michigan"
"Saint Marys, Ohio"
"Norwich, Connecticut"
"Carnation, Washington"
"Green Harbor, Massachusetts"
"Edison, New Jersey"
"St. Pete Beach, Florida"
"High Point, North Carolina"
"West Allis, Wisconsin"
"Frederick, Maryland"
"Charlotte, North Carolina"
"Potomac, Maryland"
"Colorado Springs, Colorado"
"Pasadena, California"
"Anna Maria, Florida"
"Seal Beach, California"
"Tampa, Florida"
"Yorkville, Wisconsin"
"Martin Lake, Minnesota"
"County of Orange, California"
"Fort Myers Beach, Florida"
"Parker, Arizona"
"Alta, Utah"
"Rockville, Maryland"
"Spearfish, South Dakota"
"Crested Butte, Colorado"
"Del Mar, California"
"Cocoa Beach, Florida"
"Southampton, New York"
"Forest, Virginia"
"Quincy, Massachusetts"
"Hayward, California"
"Burlingame, California"
"Salton Sea Beach, California"
"Saint Paul, Minnesota"
"Universal City, California"
"Jamaica, New York"
"Downtown San Francisco, California"
"Frankfort, Kentucky"
"Embarcadero, California"
"Mountain Top, Pennsylvania"
"Wichita Falls, Texas"
"Mojave, California"
"Gig Harbor, Washington"
"North Miami Beach, Florida"
"Adelanto, California"
"Tuba City, Arizona"
"Manchester, New Hampshire"
"Baraboo, Wisconsin"
"Novi, Michigan"
"New Harbor, Maine"
"Hulbert, Oklahoma"
"Yellow Springs, Ohio"
"Brookings, Oregon"
"Sherman Oaks, California"
"Emerald Bay, California"
"World Trade Center, New York"
"Panama City Beach, Florida"
"Hartford, Connecticut"
"East Palo Alto, California"
"Augusta, Georgia"
"Dayton, Ohio"
"St. Johns County, Florida"
"Arroyo Grande, California"
"Sarasota, Florida"
"Pensacola, Florida"
"Arcadia, California"
"Rehoboth Beach, Delaware"
"Buffalo Grove, Illinois"
"Fire Island, New York"
"Idaho Falls, Idaho"
"Highline Park, New York City"
"Southwest Harbor, Maine"
"Olancha, California"
"Edwardsville, Illinois"
"Jamestown, California"
"Monroe, Pennsylvania"
"Framingham, Massachusetts"
"Marble Canyon, Arizona"
"Tonopah, Nevada"
"La Push, Washington"
"Palo Alto, California"
"Towaoc, Colorado"
"Lake Isabella, California"
"Pelican Rapids, Minnesota"
"Fair Lawn, New Jersey"
"Nassau County, New York"
"University Heights, Ohio"
"Montezuma, New Mexico"
"American Beach, Florida"
"Cleveland Heights, Ohio"
"Oxnard, California"
"Ridgefield Park, New Jersey"
"West Hills, California"
"Colter Bay Village, Wyoming"
"Montgomery County, Ohio"
"Rockport, Massachusetts"
"Livermore, California"
"Palm Beach, Florida"
"Versailles, Pennsylvania"
St. Louis Arch
"Rosemary Beach, Florida"
"Davisville, Missouri"
"Atascadero, California"
"Bentonville, Arkansas"
"Panguitch Lake Resort, Utah"
"Fort Pierce, Florida"
"Breckenridge, Colorado"
"Amelia City, Florida"
"Long Branch, New Jersey"
"Homewood, Alabama"
"Gillette, Wyoming"
"Hambden, Ohio"
"Hanksville, Utah"
"North Topsail Beach, North Carolina"
"Pacific Grove, California"
"Panguitch, Utah"
"Drumore, Pennsylvania"
"Lindcove, California"
"Orland Park, Illinois"
"Metuchen, New Jersey"
"Scranton, Pennsylvania"
"Hillsboro, Oregon"
"West Yellowstone, Montana"
"Solon, Ohio"
"Indian Wells, California"
"Bloomingdale, Illinois"
"Concord, New Hampshire"
"Lafayette, Indiana"
"Tucson, Arizona"
"Wells Beach, Maine"
"Cardiff-by-the-Sea, California"
"Rapid City, South Dakota"
"Bradenton Beach, Florida"
"Big Bear Lake, California"
"Pensacola Beach, Florida"
"Horseshoe Lake, Arizona"
"Perry, Ohio"
"Fayette County, Georgia"
"Kansas City, Missouri"
"Falmouth, Massachusetts"
"Burlington, Vermont"
"Rancho Palos Verdes, California"
"Winter Park, Florida"
"Windermere, Florida"
"Huntington Park, California"
"Sammamish, Washington"
"Fontana, California"
"Lookout Mountain, Tennessee"
"Kramer Junction, California"
"Eugene, Oregon"
"Halloran Springs, California"
"Lucerne Valley, California"
"Big Bear City, California"
"Lakeland, Florida"
"Los Alamos, California"
"Gatlinburg, Tennessee"
"Aiken, South Carolina"
"Emigrant, Montana"
"Pacific Palisades, California"
"Honesdale, Pennsylvania"
"Lake George, New York"
"Fisher Island, Florida"
"Harwood, Texas"
"Caribbean Key, Florida"
"Elk Grove, Illinois"
"Woodbridge, New Jersey"
New York City Hall
"Scarborough, Maine"
"Mountain Village, Colorado"
"Three Rivers, California"
"Telluride, Colorado"
"Mercer Island, Washington"
"St. Augustine, Florida"
"Imperial Beach, California"
"Burlington, Massachusetts"
"Folsom, California"
"Elk City, Oklahoma"
"Tempe, Arizona"
"Mount Major, New Hampshire"
"Mariposa, California"
"Blue Bell, Pennsylvania"
"Dwight, Illinois"
"South San Francisco, California"
"Port Jefferson, New York"
"Mexican Hat, Utah"
"Paradise, Nevada"
"Wayland, Massachusetts"
"Madison, Wisconsin"
"Plainfield, Indiana"
"Merrillville, Indiana"
"Rachel, Nevada"
"Antelope, California"
"Seaside, California"
"Severna Park, Maryland"
"Sanibel, Florida"
"Newark, California"
"The Jefferson, Washington, DC"
"Dubuque, Iowa"
"Maryland City, Maryland"
"Burlington, Kentucky"
Hilton St. Louis at the Ballpark
"Fresno County, California"
"La Vergne, Tennessee"
"Mount Charleston, Nevada"
"Green Village, New Jersey"
"Kayenta, Arizona"
"Highgate Springs, Vermont"
"San Mateo, California"
"Louisville, Colorado"
"Hampton, Virginia"
"Worcester, Massachusetts"
"Bridgehampton, New York"
"Topsail, North Carolina"
"Battery Park,New York"
"Hollywood, Florida"
"Troy, Michigan"
"Salem, Massachusetts"
"Columbus, Georgia"
"Centreville, Virginia"
"Ouray County, Colorado"
"Cabazon, California"
"Georgetown, Texas"
"Syracuse, New York"
"Taos, New Mexico"
"Bay Hill, Florida"
"Zephyr Cove, Nevada"
"Kalamazoo, Michigan"
"Lake Mary, Florida"
"Boston, New York"
"Rochelle Park, New Jersey"
"Fredericksburg, Virginia"
"Downtown Columbus, Ohio"
"Mount Laguna, California"
"Sugarcreek, Ohio"
"Carmel Valley, California"
"Point Mugu, California"
"Maple Grove, Minnesota"
"Meatpacking District, New York"
"Tupman, California"
"Marysville, Washington"
"Mount Shasta, California"
"Catheys Valley, California"
"Rowland Heights, California"
"Palm Bay, Florida"
"Jackson, New Hampshire"
"Homestead, Florida"
"Hammond, Indiana"
"Cape May, New Jersey"
"Stockbridge, Georgia"
"Baton Rouge, Louisiana"
"Florence, Oregon"
"Tillamook, Oregon"
"Oak Creek, Wisconsin"
"Green Bay, Wisconsin"
"Glen Oaks, New York"
"Watertown, Massachusetts"
"Eureka, California"
"North Las Vegas, Nevada"
"Geneva, Florida"
"Bridal Veil, Oregon"
"Saint Peters, Missouri"
"Foster City, California"
"Surfside, Florida"
"Phelan, California"
"Ash Fork, Arizona"
"North Rim, Arizona"
"Statue of Liberty, New York"
"Jerome, Arizona"
"Eatonville, Washington"
"Convent Station, New Jersey"
"Hermitage, Pennsylvania"
"Nehalem, Oregon"
"Jenner, California"
"Venice, Florida"
"Hopkinton, Rhode Island"
"Sarasota County, Florida"
"San Marcos, Texas"
"North Port, Florida"
"Encinitas, California"
"Mojave Desert, California"
"Rochester, Minnesota"
"Galena, Maryland"
"Bay City, Michigan"
"Grand Canyon National Park, Arizona"
"Lakeside, Ohio"
"Port Clinton, Ohio"
"Eminence, Missouri"
"Oceanside, California"
"Blue Diamond, Nevada"
"West Thumb, Wyoming"
"Canyon Village, Wyoming"
"Bridgewater, New Jersey"
"West Valley City, Utah"
"North Shore, Hawaii"
"Spokane, Washington"
"Topanga, California"
"Watchung, New Jersey"
"Bryson City, North Carolina"
"Bristow, Virginia"
"Greenville, North Carolina"
"Morrison, Colorado"
"Bird In Hand, Pennsylvania"
"Palmyra, Pennsylvania"
"Cedar Rapids, Iowa"
"Groveland, California"
"Caseville, Michigan"
"Cambria, California"
"Cedar City, Utah"
"Darwin, California"
"Wilmington, North Carolina"
"Silverdale, Washington"
"Port Orchard, Washington"
"Silver City, Idaho"
"Parsippany, New Jersey"
"San Carlos, California"
"Monroe, Utah"
"Austin, Nevada"
"Sunset Bay, New York"
"Oak Tree, New Jersey"
"Bishop, California"
"Clackamas, Oregon"
"Bagdad, Arizona"
"Niagara, New York"
"Oak Park, Illinois"
"Chandler, Arizona"
"Twin Peaks, California"
"Cody, Wyoming"
"Hilton Head Island, South Carolina"
"Myrtle Beach, South Carolina"
"Vail, Colorado"
"Red Cliff, Colorado"
"Saint Joseph, Michigan"
"San Luis Obispo, California"
"Old Orchard Beach, Maine"
"Pacific, California"
"Kingman, Kansas"
"Benton Hot Springs, California"
"Cumberland, Rhode Island"
"Severn, Maryland"
"Marathon, Texas"
"Grimes, California"
"Lake, Wyoming"
"Greensboro, North Carolina"
"Everett, Massachusetts"
"Oceano Beach, California"
"Lincoln, California"
"Woodland Hills, California"
"Vero Beach South, Florida"
"The Mammoth Site of Hot Springs, South Dakota"
"Ouray, Colorado"
"North Ogden, Utah"
"Boca Grande, Florida"
"La Crosse, Wisconsin"
"Galena, Illinois"
"Mount Hood, Oregon"
"Duluth, Minnesota"
"Dickinson, North Dakota"
"Dodge City, Kansas"
"Tacoma, Washington"
"Hermosa Beach, California"
"Overland Park, Kansas"
"Oakland Park, Florida"
"Saddle Brook, New Jersey"
"Atlantic Beach, Florida"
"Saratoga, California"
"Carolina Beach, North Carolina"
"Robbinsville, New Jersey"
"Swansboro, North Carolina"
"Amarillo, Texas"
"Nobleboro, Maine"
Lego Store New York City
"Yosemite Lakes Park, California"
"Oro Grande, California"
"Riverside, California"
"Germantown, Maryland"
"Jacksonville Beach, Florida"
"Fairhaven, Massachusetts"
"Hall County, Georgia"
"New Vrindaban, West Virginia"
"Baldwin Park, California"
"Beaumont, California"
"Jamestown, New York"
"West, Texas"
"Vancouver, Washington"
"Newton, New Jersey"
"Miami South Beach,Florida"
"Yosemite West, California"
"Champaign, Illinois"
"Bass Lake, California"
"Blue Ridge, Georgia"
"Gualala, California"
"Sea Ranch, California"
"Moosehead, Maine"
"Alpharetta, Georgia"
"El Segundo, California"
"Holbrook, Arizona"
"Ocean City, Maryland"
"Avila Beach, California"
"Vanderbilt Beach, Florida"
"East Hampton, New York"
"East Hampton , New York"
"Bryce Canyon National Park, Utah"
"North Hollywood, California"
"Shelter Island , New York"
"Pagosa Springs, Colorado"
"Toledo, Ohio"
"Hanover, New Hampshire"
"Siesta Key, Florida"
"Santo Domingo Pueblo, New Mexico"
"Williamsville, New York"
"Thetford Center, Vermont"
"Cave-In-Rock, Illinois"
"Westbrook, Connecticut"
"University Park, Texas"
"Pfafftown, North Carolina"
"College Park, Maryland"
"Lincoln, Nebraska"
"Fire Island Pines, New York"
"Arizona City, Arizona"
"Paramus, New Jersey"
"Dry Lake, Nevada"
"Mercer County, West Virginia"
"Hot Springs, New Mexico"
"Gardena, California"
"Cayucos, California"
"Corpus Christi, Texas"
"Portland, Texas"
"Bryce Canyon, Utah"
"Gainesville, Texas"
"Middleton, Wisconsin"
"Astoria, Oregon"
"Arch Cape, Oregon"
"Springdale, Utah"
"Manzanita, Oregon"
"San Clemente, California"
"Granbury, Texas"
"Boerne, Texas"
"Grand Canyon West, Arizona"
"National Harbor, Maryland"
"Bethesda, Maryland"
"Mackinac Island, Michigan"
"Wenatchee, Washington"
"Salem, Oregon"
"Frankenmuth, Michigan"
"Concord, Massachusetts"
"Yucca Valley, California"
"SeaTac, Washington"
"Jay, Florida"
"Compton, California"
"Covina, California"
"Aquinnah, Massachusetts"
"Oak Bluffs, Massachusetts"
"Allen, Texas"
"Kansas, Oklahoma"
"Somersworth, New Hampshire"
"Medina, Texas"
"Bedford, Massachusetts"
"Paducah, Kentucky"
"Hyde Park, Utah"
"North Logan, Utah"
"Friday Harbor, Washington"
"Cape Neddick, Maine"
"Rye, New Hampshire"
"Yakima, Washington"
"Buena Park, California"
"Lee Vining, California"
"Lexington, South Carolina"
"Glendale, Utah"
"Rancho Cucamonga, California"
"Golden Beach, Florida"
"North Chelmsford, Massachusetts"
"Panama City, Florida"
"Painted Hills, Oregon"
"Barstow, California"
"Fishs Eddy, New York"
"Wawona, California"
"Zionville, North Carolina"
"Coyote Buttes South, Arizona"
"Monument Valley, Utah"
"Alabama Hills, California"
"Playa Del Rey, California"
"South Beach, Florida"
"Flatiron Building, New York City"
"Alameda, California"
"Winston-Salem, North Carolina"
"Davie County, North Carolina"
"Montara, California"
"Terre Haute, Indiana"
"Windsor, Connecticut"
"Glenbrook, Nevada"
"Dos Palos, California"
"Harlemville, New York"
"Columbia , South Carolina"
"West Chester, Pennsylvania"
"Oregon City, Oregon"
"Alhambra, California"
"Suttons Bay, Michigan"
"Boynton Beach, Florida"
"New Haven, Connecticut"
"Anaheim, California"
"Venice Beach, California"
"Mill Valley, California"
"Arcosanti, Arizona"
"Provo, Utah"
"San Lorenzo, California"
"Yemassee, South Carolina"
"Pembroke Pines, Florida"
"Thornton, New Hampshire"
"Disneyland, California"
"Rockford, Michigan"
"Brawley, California"
"Simi Valley, California"
"Mountain View, California"
"Newark, Delaware"
"New Castle County, Delaware"
"Lake Placid, New York"
"Fairfax, Virginia"
"Chantilly, Virginia"
"Round Hill, Virginia"
"Winslow, Arizona"
"Liverpool, New York"
"Ridgeland, Mississippi"
"Tracy, California"
"Apache Junction, Arizona"
"Lone Tree, Colorado"
"Castle Pines Village, Colorado"
"Castle Rock, Colorado"
"Cedar Key, Florida"
"Des Moines, Iowa"
"McLean, Virginia"
"Ellenton, Florida"
"Linthicum Heights, Maryland"
"Beacon, New York"
"Springfield, Virginia"
"Fox Lake, Illinois"
"Juliette, Georgia"
"Seaside, Oregon"
"Peach Springs, Arizona"
"Deerfield Beach, Florida"
"Coconut Creek, Florida"
"Clearwater Beach, Florida"
New York City Subway
"Peachtree Corners, Georgia"
"San Pedro, California"
"Copper Harbor, Michigan"
"Saint Ignace, Michigan"
"Canyon Diablo, Arizona"
"Lexington, Nebraska"
"Page Lake Powell, Arizona"
"Evanston, Illinois"
"Serendipity, New York City"
"Canyonlands National Park, Utah"
"Corona, California"
"Santa Ana, California"
"Hoover Dam, Arizona"
"South Rockwood, Michigan"
"Bonita Beach, Florida"
"Opal Creek, Oregon"
"Grand Teton National Park, Wyoming"
"Cooper City, Florida"
"Ocean Shores, Washington"
"Bay Bridge, California"
"Phillipsburg, New Jersey"
"Point Reyes, California"
"Keywest, Florida"
"Salkum, Washington"
"Conshohocken, Pennsylvania"
"Manassas, Virginia"
"Montross, Virginia"
"Central Park West Side Manhattan, New York"
"Saratoga Springs, New York"
"Chimney Rock, North Carolina"
"Oak Alley, Louisiana"
"Highline, New York City"
"Winchester, Virginia"
"Green River, Utah"
"Glacier National Park, Montana"
"Rockport, Maine"
"League City, Texas"
"North Palm Beach, Florida"
"Garland, Texas"
"Port Townsend, Washington"
"Hermiston, Oregon"
"Chattanooga, Tennessee"
"Madison, Mississippi"
"Brady, Texas"
"Coos Bay, Oregon"
"Hawley, Pennsylvania"
"Wingdale, New York"
"Palm City, Florida"
"Mayville, New York"
"Oceano, California"
"Beach Haven, New Jersey"
"Gales Creek, Oregon"
"Lemont, Illinois"
"Essex, Connecticut"
"Garner, Iowa"
"New York City, USA"
"Tybee Island, Georgia"
"Cape Coral, Florida"
"Seaside Heights, New Jersey"
"City of Mesquite, Nevada"
"Hillsborough, New Jersey"
"Morton Grove, Illinois"
