"Santa Barbara, California","Beaches"
"Ontario, California","Residential"
"Malibu, California","Beaches"
"Denver, Colorado","Urban Attractions"
"Venice, California","Beaches"
"Atlanta, Georgia","Urban Attractions"
"Dana Point, California","Beaches"
"Poway, California","Residential"
"Hoboken, New Jersey","Residential"
"Bakersfield, California","Residential"
"Boston, Massachusetts","Cultural"
"Brooklyn, New York","Urban Attractions"
"McKinney, Texas","Residential"
"Pebble Beach, California","Beaches"
"Newark, New Jersey","Urban Attractions"
"Big Sur, California","Natural Attractions"
"Wausau, Wisconsin","Natural Attractions"
"Delaware, Ohio","Residential"
"Estes Park, Colorado","Natural Attractions"
"West New York, New Jersey","Residential"
"Joshua Tree, California","Natural Attractions"
"Fort Collins, Colorado","Urban Attractions"
"North Miami, Florida","Beaches"
"San Miguel, California","Natural Attractions"
"Garden Grove, California","Residential"
"Franconia, New Hampshire","Natural Attractions"
"Frisco, Texas","Residential"
"South Lake Tahoe, California","Natural Attractions"
"Cary, North Carolina","Residential"
"Monterey, California","Beaches"
"Cambridge, Massachusetts","Educational"
"Glendale, California","Residential"
"Wynwood, Florida","Urban Attractions"
"Sunrise Manor, Nevada","Residential"
"Cape Elizabeth, Maine","Natural Attractions"
"Aliso Viejo, California","Residential"
"Grand Prairie, Texas","Residential"
"Petaluma, California","Natural Attractions"
"Leggett, California","Natural Attractions"
"Sunnyvale, California","Residential"
"Mammoth, California","Natural Attractions"
"West Springfield, Virginia","Residential"
"Ann Arbor, Michigan","Educational"
"Fremont, California","Residential"
"Rockefeller Centre New York City","Cultural"
"Huntington Beach, California","Beaches"
"Fort Worth, Texas","Urban Attractions"
"Indianapolis, Indiana","Urban Attractions"
"Phoenix, Arizona","Urban Attractions"
"Bryn Mawr, Pennsylvania","Educational"
"Albuquerque, New Mexico","Urban Attractions"
"Oklahoma City, Oklahoma","Urban Attractions"
"Howard County, Maryland","Residential"
"Tulsa, Oklahoma","Urban Attractions"
"Silicon Valley, California","Business and Technology"
"Euless, Texas","Residential"
"Redwoods, California","Natural Attractions"
"Shark River Hills, New Jersey","Residential"
"Portland, Maine","Urban Attractions"
"Thackerville, Oklahoma","Gambling"
"Reading, Pennsylvania","Residential"
"Attleboro, Massachusetts","Residential"
"Asbury Park, New Jersey","Beaches"
"Bradley Beach, New Jersey","Beaches"
"Kennebunkport, Maine","Beaches"
"Southlake, Texas","Residential"
"Ripton, Vermont","Natural Attractions"
"Madison, New Jersey","Residential"
"Grand Canyon Village, Arizona","Natural Attractions"
"Stone Mountain, Georgia","Natural Attractions"
"Lake Charles, Louisiana","Urban Attractions"
"Sequoia National Park, California","Natural Attractions"
"Stowe, Vermont","Natural Attractions"
"Bodie, California","Historical"
"Aurora, Colorado","Residential"
"New York City","Urban Attractions"
"Oatman, Arizona","Historical"
"Walapai, Arizona","Natural Attractions"
"North Bay Village, Florida","Beaches"
"Lewis Center, Ohio","Residential"
"Holland, Michigan","Beaches"
"Annapolis, Maryland","Historical"
"Sullivan, New York","Residential"
"Detroit, Michigan","Urban Attractions"
"Franklin Lakes, New Jersey","Residential"
"Flagstaff, Arizona","Natural Attractions"
"New Hope, Pennsylvania","Historical"
"Livingston, Alabama","Residential"
"Reno, Nevada","Gambling"
"Arlington, Virginia","Urban Attractions"
"Pittsburgh, Pennsylvania","Urban Attractions"
"Islamorada, Florida","Beaches"
"Revere, Massachusetts","Beaches"
"Niland, California","Natural Attractions"
"Quilcene, Washington","Natural Attractions"
"Nashville, Tennessee","Music and Entertainment"
"Queensbury, New York","Residential"
"Gulfport, Mississippi","Beaches"
"Yosemite Valley, California","Natural Attractions"
"Lakewood, New Jersey","Residential"
"Orangevale, California","Residential"
"Plantation, Florida","Residential"
"North Potomac, Maryland","Residential"
"Milwaukee, Wisconsin","Urban Attractions"
"Grand Beach, Michigan","Beaches"
"Wixom, Michigan","Residential"
"Fairfield, Iowa","Residential"
"Provincetown, Massachusetts","Beaches"
"Greendale, Wisconsin","Residential"
"Scottsdale, Arizona","Urban Attractions"
"Minneapolis, Minnesota","Urban Attractions"
"Coronado, California","Beaches"
"Rochester, New York","Urban Attractions"
"Essex County, New Jersey","Residential"
"Saint Augustine, Florida","Historical"
"Georgetown, Delaware","Residential"
"Lake Geneva, Wisconsin","Beaches"
"Leavenworth, Washington","Historical"
"Burbank, California","Urban Attractions"
"Salt Lake City, Utah","Urban Attractions"
"Saint Petersburg, Florida","Beaches"
"Santa Cruz, California","Beaches"
"Brighton, Colorado","Residential"
"Florence, Arizona","Historical"
"Springfield, Massachusetts","Urban Attractions"
"Astoria, New York","Residential"
"Big Pine Key, Florida","Beaches"
"Kingman, Arizona","Natural Attractions"
"Garden City, New York","Residential"
"Clearwater, Florida","Beaches"
"Ossining, New York","Residential"
"Federal Way, Washington","Residential"
"Redding, California","Natural Attractions"
"Wisconsin Dells, Wisconsin","Natural Attractions"
"Solvang, California","Historical"
"Weehawken, New Jersey","Residential"
"New Hill, North Carolina","Residential"
"Helen, Georgia","Historical"
"Marina del Rey, California","Beaches"
"Seligman, Arizona","Historical"
"New York City - Manhattan - Nyc","Urban Attractions"
"Daytona Beach, Florida","Beaches"
"Winterset, Iowa","Historical"
"Egg Harbor, Wisconsin","Beaches"
"Palm Springs, California","Beaches"
"Nassau County, Florida","Residential"
"Everglades City, Florida","Natural Attractions"
"Gainesville, Georgia","Residential"
"Anchorage, Alaska","Natural Attractions"
"Culver City, California","Urban Attractions"
"Santa Clara, California","Urban Attractions"
"Charleroi, Pennsylvania","Residential"
"Plymouth, Massachusetts","Historical"
"Queens, New York","Urban Attractions"
"West Sedona, Arizona","Natural Attractions"
"Baker, California","Natural Attractions"
"Houston, Texas","Urban Attractions"
"Munising, Michigan","Natural Attractions"
"Jersey City, New Jersey","Urban Attractions"
"Death Valley Junction, California","Natural Attractions"
"Key Largo, Florida","Beaches"
"Round Rock, Texas","Residential"
"Delray Beach, Florida","Beaches"
"Columbus, Ohio","Urban Attractions"
"Westminster, California","Residential"
"Bryce Canyon City, Utah","Natural Attractions"
"Fish Creek, Wisconsin","Beaches"
"Coachella, California","Music and Entertainment"
"Eaton Center, New Hampshire","Natural Attractions"
"Berkeley, California","Educational"
"Galveston, Texas","Beaches"
"Arlington, Washington","Residential"
"Woodstock, Vermont","Historical"
"Tyler, Texas","Residential"
"Plattsburgh, New York","Residential"
"Sedona, Arizona","Natural Attractions"
"Fort Lauderdale, Florida","Beaches"
"Newport, Rhode Island","Beaches"
"Memphis, Tennessee","Music and Entertainment"
"Depoe Bay, Oregon","Natural Attractions"
"Ogunquit, Maine","Beaches"
"Cupertino, California","Urban Attractions"
"Seneca, Arizona","Natural Attractions"
"Manhattan Beach, California","Beaches"
"Santa Margarita, California","Natural Attractions"
"Morro Bay, California","Beaches"
"San Carlos, Arizona","Natural Attractions"
"Costa Mesa, California","Urban Attractions"
"La Jolla, California","Beaches"
"St. Louis","Urban Attractions"
"Dolan Springs, Arizona","Natural Attractions"
"San Bernardino, California","Urban Attractions"
"Pleasant Hill, California","Residential"
"Key Biscayne, Florida","Beaches"
"El Matador State Beach Malibu, California","Beaches"
"Badwater, California","Natural Attractions"
"Coral Gables, Florida","Residential"
"Boca Raton, Florida","Beaches"
"Victor, Idaho","Natural Attractions"
"Half Moon Bay, California","Beaches"
"Fort Myers, Florida","Beaches"
"San Diego Country Estates, California","Residential"
"Stanford, California","Educational"
"Ormond-by-the-Sea, Florida","Beaches"
"Wilkes-Barre, Pennsylvania","Urban Attractions"
"Ogden, Utah","Urban Attractions"
"Milford, Connecticut","Residential"
"Atlantic City, New Jersey","Gambling"
"Moonstone, California","Beaches"
"El Centro, California","Residential"
"Soda Springs, Idaho","Natural Attractions"
"Great Falls, Virginia","Natural Attractions"
"Bronx, New York","Urban Attractions"
"Amboy, California","Natural Attractions"
"Kings Beach, California","Beaches"
"Aspen, Colorado","Skiing"
"Ventura, California","Beaches"
"Valle, Arizona","Natural Attractions"
"Plano, Texas","Residential"
"Henderson, Nevada","Gambling"
"Calexico, California","Residential"
"Waltham, Massachusetts","Urban Attractions"
"Wall Street, New York","Urban Attractions"
"Daytona Beach Shores, Florida","Beaches"
"Lake Havasu City, Arizona","Beaches"
"Sandy, Utah","Residential"
"Stuart, Florida","Beaches"
"Page, Arizona","Natural Attractions"
"Enterprise, Nevada","Residential"
"Othello, Washington","Residential"
"North Barstow, California","Residential"
"Cape Canaveral, Florida","Beaches"
"Jackson, Wyoming","Skiing"
"Pismo Beach, California","Beaches"
"Staten Island, New York","Urban Attractions"
"Hurricane, Utah","Natural Attractions"
"Saint Helena, California","Wine Region"
"Napa, California","Wine Region"
"Victorville, California","Residential"
"Avon Lake, Ohio","Residential"
"Marlboro, Massachusetts","Residential"
"Calabasas, California","Residential"
"Kissimmee, Florida","Theme Parks"
"Savannah, Georgia","Historical"
"Forest Hills, New York","Residential"
"Raleigh, North Carolina","Urban Attractions"
"Menifee, California","Residential"
"Meadview, Arizona","Natural Attractions"
"Mandan, North Dakota","Residential"
"South Titusville, Florida","Residential"
"Buffalo, New York","Urban Attractions"
"Moab, Utah","Natural Attractions"
"Oljato-Monument Valley, Arizona","Natural Attractions"
"Lake Minnewaska, New York","Natural Attractions"
"Island Park, Idaho","Natural Attractions"
"Crystal Bay, Nevada","Gambling"
"Pocatello, Idaho","Residential"
"Southfield, Michigan","Residential"
"White City, Oregon","Residential"
"Mountain Pass, California","Natural Attractions"
"Sacramento, California","Urban Attractions"
"Rosemont, Illinois","Urban Attractions"
"Nelson, Nevada","Historical"
"Zion National Park, Utah","Natural Attractions"
"Long Beach, New York","Beaches"
"Akron, Ohio","Urban Attractions"
"Sunny Isles Beach, Florida","Beaches"
"Pewaukee, Wisconsin","Beaches"
"Pacifica, California","Beaches"
"Mukilteo, Washington","Residential"
"Fort Wayne, Indiana","Urban Attractions"
"Greenville, South Carolina","Urban Attractions"
"White Plains, New York","Urban Attractions"
"Charleston, South Carolina","Historical"
"Grand Rapids, Michigan","Urban Attractions"
"Fairhaven, Washington","Historical"
"Wareham, Massachusetts","Residential"
"LaGrange, Indiana","Residential"
"Lansing, Iowa","Residential"
"Portsmouth, New Hampshire","Historical"
"North Myrtle Beach, South Carolina","Beaches"
"Fort Lee, New Jersey","Residential"
"Baltimore County, Maryland","Residential"
"Eastport, New York","Residential"
"Ohio City, Ohio","Residential"
"Brownfield, Texas","Residential"
"Borrego Springs, California","Natural Attractions"
"Pemaquid Point, Maine","Beaches"
"Anderson, South Carolina","Residential"
"Avondale, Arizona","Residential"
"Mountain House, California","Residential"
"Pioneertown, California","Natural Attractions"
"Cameron, Arizona","Natural Attractions"
"Albany, New York","Urban Attractions"
"Tiburon, California","Natural Attractions"
"Coconino, Arizona","Natural Attractions"
"Artesia, California","Residential"
"Northbrook, Illinois","Residential"
"Fountain Valley, California","Residential"
"Atlantic Beach, New York","Beaches"
"Romeoville, Illinois","Residential"
"Kanab, Utah","Natural Attractions"
"Estacada, Oregon","Natural Attractions"
"Knoxville, Tennessee","Urban Attractions"
"Venice Beach, Florida","Beaches"
"Jamestown, North Dakota","Residential"
"Virginia Beach, Virginia","Beaches"
"Sequoia, California","Natural Attractions"
"Coulee Dam, Washington","Natural Attractions"
"Medora, North Dakota","Natural Attractions"
"Charlevoix, Michigan","Natural Attractions"
"Harrison, New Jersey","Residential"
"Morristown, New Jersey","Historical"
"San Simeon, California","Natural Attractions"
"Bismarck, North Dakota","Urban Attractions"
"Baltimore, Maryland","Urban Attractions"
"The Wave, Arizona","Natural Attractions"
"Presque Isle, Michigan","Natural Attractions"
"Cooperstown, New York","Historical"
"Watkins Glen, New York","Natural Attractions"
"Praha, Texas","Residential"
"Vermont, Illinois","Residential"
"Calistoga, California","Wine Region"
"Munuscong, Michigan","Natural Attractions"
"South Miami, Florida","Urban Attractions"
"Fairplay, Colorado","Natural Attractions"
"Montauk, New York","Beaches"
"Fredonia, Arizona","Natural Attractions"
"Mystic, Connecticut","Historical"
"Saugatuck, Michigan","Beaches"
"Seward, Alaska","Natural Attractions"
"Essex, California","Natural Attractions"
"Beatty, Nevada","Natural Attractions"
"New City, New York","Residential"
"East Brunswick, New Jersey","Residential"
"Mercer County, New Jersey","Residential"
"Sunset Beach, California","Beaches"
"Virgin, Utah","Natural Attractions"
"Glenview, Illinois","Residential"
"Alpena, Michigan","Natural Attractions"
"Cannon Beach, Oregon","Beaches"
"Pahrump, Nevada","Gambling"
"Montgomery County, Maryland","Residential"
"Lone Pine, California","Natural Attractions"
"Atlanta, Illinois","Residential"
"Dublin, California","Residential"
"Seekonk, Massachusetts","Residential"
"Ruidoso, New Mexico","Natural Attractions"
"Ithaca, New York","Educational"
"Saint Charles, Illinois","Residential"
"Torrance, California","Urban Attractions"
"Klamath Falls, Oregon","Natural Attractions"
"Como, Colorado","Natural Attractions"
"Arlington, Texas","Urban Attractions"
"Johnston, Iowa","Residential"
"Central Park, New York","Urban Attractions"
"Mason, Ohio","Residential"
"Buena Vista, Colorado","Natural Attractions"
"Flamingo, Florida","Beaches"
"South Padre Island, Texas","Beaches"
"Horseshoe Bend, Nevada","Natural Attractions"
"Tusayan, Arizona","Natural Attractions"
"Sault Ste. Marie, Michigan","Natural Attractions"
"Soledad, California","Natural Attractions"
"Goleta, California","Beaches"
"Moss Point, Mississippi","Residential"
"Richmond, Virginia","Urban Attractions"
"Oakland, California","Urban Attractions"
"Montgomery, New Jersey","Residential"
"Highland Park, Texas","Residential"
"Nottingham, Pennsylvania","Residential"
"Cheyenne, Wyoming","Urban Attractions"
"Mobile County, Alabama","Residential"
"Glenwood Springs, Colorado","Natural Attractions"
"Nipton, California","Natural Attractions"
"Natchez, Mississippi","Historical"
"Tukwila, Washington","Urban Attractions"
"East Nashville, Tennessee","Urban Attractions"
"Fruita, Utah","Natural Attractions"
"Springfield, Missouri","Urban Attractions"
"Downey, Idaho","Residential"
"Gaithersburg, Maryland","Residential"
"Pulaski, New York","Residential"
"Grapevine, Texas","Urban Attractions"
"Durham, North Carolina","Urban Attractions"
"Juneau, Alaska","Natural Attractions"
"Madison County, Virginia","Natural Attractions"
"Woodbury, Minnesota","Residential"
"Hull, Massachusetts","Beaches"
"Ketchikan, Alaska","Natural Attractions"
"Corolla, North Carolina","Beaches"
"Bar Harbor, Maine","Natural Attractions"
"La Grande, Oregon","Residential"
"Pascagoula, Mississippi","Residential"
"White Sands, New Mexico","Natural Attractions"
"Topock, Arizona","Natural Attractions"
"Gloucester, Massachusetts","Beaches"
"Tulare, California","Residential"
"Chester County, Pennsylvania","Residential"
"Elizabeth, New Jersey","Urban Attractions"
"Brookville, Ohio","Residential"
"Put-in-Bay, Ohio","Beaches"
"Waco, Texas","Urban Attractions"
"West Palm Beach, Florida","Beaches"
"Southport, North Carolina","Beaches"
"Charlottesville, Virginia","Historical"
"Rocky Mount, North Carolina","Residential"
"Kent, Washington","Urban Attractions"
"Branson, Missouri","Urban Attractions"
"Oasis, Nevada","Natural Attractions"
"Marathon, Florida","Beaches"
"Hudson, New York","Residential"
"Park City, Utah","Skiing"
"Kitty Hawk, North Carolina","Beaches"
"Alexandria, Virginia","Urban Attractions"
"Pescadero, California","Natural Attractions"
"Sugar Land, Texas","Urban Attractions"
"Salida, Colorado","Natural Attractions"
"Granada Hills, California","Residential"
"Loudoun County, Virginia","Residential"
"Homer Glen, Illinois","Residential"
"Santa Rosa, California","Wine Region"
"Skagway, Alaska","Natural Attractions"
"Ashburn, Virginia","Residential"
"Zzyzx, California","Natural Attractions"
"Universal Studios, Florida","Theme Parks"
"Dillon, Colorado","Skiing"
"Sheridan, Wyoming","Natural Attractions"
"Bisbee, Arizona","Historical"
"Vallejo, California","Urban Attractions"
"Independence, Colorado","Natural Attractions"
"Lake, Michigan","Beaches"
"Boyne Falls, Michigan","Skiing"
"Fillmore, California","Residential"
"Columbia, South Carolina","Urban Attractions"
"Chula Vista, California","Urban Attractions"
"Bonita Springs, Florida","Beaches"
"Petoskey, Michigan","Natural Attractions"
"Saint Marys, Ohio","Beaches"
"Norwich, Connecticut","Residential"
"Carnation, Washington","Residential"
"Green Harbor, Massachusetts","Beaches"
"Edison, New Jersey","Urban Attractions"
"St. Pete Beach, Florida","Beaches"
"High Point, North Carolina","Residential"
"West Allis, Wisconsin","Residential"
"Frederick, Maryland","Residential"
"Charlotte, North Carolina","Urban Attractions"
"Potomac, Maryland","Residential"
"Colorado Springs, Colorado","Natural Attractions"
"Pasadena, California","Urban Attractions"
"Anna Maria, Florida","Beaches"
"Seal Beach, California","Beaches"
"Tampa, Florida","Urban Attractions"
"Yorkville, Wisconsin","Residential"
"Martin Lake, Minnesota","Natural Attractions"
"County of Orange, California","Urban Attractions"
"Fort Myers Beach, Florida","Beaches"
"Parker, Arizona","Natural Attractions"
"Alta, Utah","Skiing"
"Rockville, Maryland","Residential"
"Spearfish, South Dakota","Natural Attractions"
"Crested Butte, Colorado","Skiing"
"Del Mar, California","Beaches"
"Cocoa Beach, Florida","Beaches"
"Southampton, New York","Beaches"
"Forest, Virginia","Residential"
"Quincy, Massachusetts","Residential"
"Hayward, California","Urban Attractions"
"Burlingame, California","Urban Attractions"
"Salton Sea Beach, California","Natural Attractions"
"Saint Paul, Minnesota","Urban Attractions"
"Universal City, California","Theme Parks"
"Jamaica, New York","Urban Attractions"
"Downtown San Francisco, California","Urban Attractions"
"Frankfort, Kentucky","Urban Attractions"
"Embarcadero, California","Urban Attractions"
"Mountain Top, Pennsylvania","Natural Attractions"
"Wichita Falls, Texas","Urban Attractions"
"Mojave, California","Natural Attractions"
"Gig Harbor, Washington","Natural Attractions"
"North Miami Beach, Florida","Beaches"
"Adelanto, California","Residential"
"Tuba City, Arizona","Natural Attractions"
"Manchester, New Hampshire","Urban Attractions"
"Baraboo, Wisconsin","Natural Attractions"
"Novi, Michigan","Residential"
"New Harbor, Maine","Beaches"
"Hulbert, Oklahoma","Residential"
"Yellow Springs, Ohio","Residential"
"Brookings, Oregon","Beaches"
"Sherman Oaks, California","Residential"
"Emerald Bay, California","Natural Attractions"
"World Trade Center, New York","Urban Attractions"
"Panama City Beach, Florida","Beaches"
"Hartford, Connecticut","Urban Attractions"
"East Palo Alto, California","Residential"
"Augusta, Georgia","Urban Attractions"
"Dayton, Ohio","Urban Attractions"
"St. Johns County, Florida","Residential"
"Arroyo Grande, California","Residential"
"Sarasota, Florida","Beaches"
"Pensacola, Florida","Beaches"
"Arcadia, California","Residential"
"Rehoboth Beach, Delaware","Beaches"
"Buffalo Grove, Illinois","Residential"
"Fire Island, New York","Beaches"
"Idaho Falls, Idaho","Natural Attractions"
"Highline Park, New York City","Urban Attractions"
"Southwest Harbor, Maine","Beaches"
"Olancha, California","Natural Attractions"
"Edwardsville, Illinois","Residential"
"Jamestown, California","Historical"
"Monroe, Pennsylvania","Residential"
"Framingham, Massachusetts","Residential"
"Marble Canyon, Arizona","Natural Attractions"
"Tonopah, Nevada","Natural Attractions"
"La Push, Washington","Beaches"
"Palo Alto, California","Urban Attractions"
"Towaoc, Colorado","Natural Attractions"
"Lake Isabella, California","Natural Attractions"
"Pelican Rapids, Minnesota","Natural Attractions"
"Fair Lawn, New Jersey","Residential"
"Nassau County, New York","Urban Attractions"
"University Heights, Ohio","Residential"
"Montezuma, New Mexico","Natural Attractions"
"American Beach, Florida","Beaches"
"Cleveland Heights, Ohio","Residential"
"Oxnard, California","Beaches"
"Ridgefield Park, New Jersey","Residential"
"West Hills, California","Residential"
"Colter Bay Village, Wyoming","Natural Attractions"
"Montgomery County, Ohio","Residential"
"Rockport, Massachusetts","Beaches"
"Livermore, California","Wine Region"
"Palm Beach, Florida","Beaches"
"Versailles, Pennsylvania","Residential"
"St. Louis Arch, Missouri","Urban Attractions"
"Rosemary Beach, Florida","Beaches"
"Davisville, Missouri","Natural Attractions"
"Atascadero, California","Residential"
"Bentonville, Arkansas","Urban Attractions"
"Panguitch Lake Resort, Utah","Natural Attractions"
"Fort Pierce, Florida","Beaches"
"Breckenridge, Colorado","Skiing"
"Amelia City, Florida","Beaches"
"Long Branch, New Jersey","Beaches"
"Homewood, Alabama","Residential"
"Gillette, Wyoming","Natural Attractions"
"Hambden, Ohio","Residential"
"Hanksville, Utah","Natural Attractions"
"North Topsail Beach, North Carolina","Beaches"
"Pacific Grove, California","Beaches"
"Panguitch, Utah","Natural Attractions"
"Drumore, Pennsylvania","Residential"
"Lindcove, California","Residential"
"Orland Park, Illinois","Residential"
"Metuchen, New Jersey","Residential"
"Scranton, Pennsylvania","Urban Attractions"
"Hillsboro, Oregon","Urban Attractions"
"West Yellowstone, Montana","Natural Attractions"
"Solon, Ohio","Residential"
"Indian Wells, California","Golf"
"Bloomingdale, Illinois","Residential"
"Concord, New Hampshire","Urban Attractions"
"Lafayette, Indiana","Urban Attractions"
"Tucson, Arizona","Urban Attractions"
"Wells Beach, Maine","Beaches"
"Cardiff-by-the-Sea, California","Beaches"
"Rapid City, South Dakota","Natural Attractions"
"Bradenton Beach, Florida","Beaches"
"Big Bear Lake, California","Natural Attractions"
"Pensacola Beach, Florida","Beaches"
"Horseshoe Lake, Arizona","Natural Attractions"
"Perry, Ohio","Residential"
"Fayette County, Georgia","Residential"
"Kansas City, Missouri","Urban Attractions"
"Falmouth, Massachusetts","Beaches"
"Burlington, Vermont","Urban Attractions"
"Rancho Palos Verdes, California","Beaches"
"Winter Park, Florida","Urban Attractions"
"Windermere, Florida","Residential"
"Huntington Park, California","Residential"
"Sammamish, Washington","Residential"
"Fontana, California","Urban Attractions"
"Lookout Mountain, Tennessee","Natural Attractions"
"Kramer Junction, California","Natural Attractions"
"Eugene, Oregon","Urban Attractions"
"Halloran Springs, California","Natural Attractions"
"Lucerne Valley, California","Natural Attractions"
"Big Bear City, California","Natural Attractions"
"Lakeland, Florida","Residential"
"Los Alamos, California","Natural Attractions"
"Gatlinburg, Tennessee","Natural Attractions"
"Aiken, South Carolina","Urban Attractions"
"Emigrant, Montana","Natural Attractions"
"Pacific Palisades, California","Beaches"
"Honesdale, Pennsylvania","Residential"
"Lake George, New York","Natural Attractions"
"Fisher Island, Florida","Beaches"
"Harwood, Texas","Residential"
"Caribbean Key, Florida","Beaches"
"Elk Grove, Illinois","Residential"
"Woodbridge, New Jersey","Residential"
"New York City Hall, New York","Urban Attractions"
"Scarborough, Maine","Beaches"
"Mountain Village, Colorado","Skiing"
"Three Rivers, California","Natural Attractions"
"Telluride, Colorado","Skiing"
"Mercer Island, Washington","Residential"
"St. Augustine, Florida","Historical"
"Imperial Beach, California","Beaches"
"Burlington, Massachusetts","Residential"
"Folsom, California","Residential"
