location,category,parentCategory
"Big Pine Key, Florida",Beaches,Beach & Waterfront
"Kingman, Arizona",Natural attractions,Nature & Outdoors
"Garden City, New York",Residential,Residential
"Clearwater, Florida",Beaches,Beach & Waterfront
"Ossining, New York",Residential,Residential
"Federal Way, Washington",Residential,Residential
"Redding, California",Natural attractions,Nature & Outdoors
"Wisconsin Dells, Wisconsin",Natural attractions,Nature & Outdoors
"Solvang, California",Historical,Historical & Cultural
"Weehawken, New Jersey",Residential,Residential
"New Hill, North Carolina",Residential,Residential
"Helen, Georgia",Historical,Historical & Cultural
"Marina del Rey, California",Beaches,Beach & Waterfront
"Seligman, Arizona",Historical,Historical & Cultural
New York City - Manhattan - Nyc,Urban Attractions,Urban & Downtown
"Daytona Beach, Florida",Beaches,Beach & Waterfront
"Winterset, Iowa",Historical,Historical & Cultural
"Egg Harbor, Wisconsin",Beaches,Beach & Waterfront
"Palm Springs, California",Beaches,Beach & Waterfront
"Nassau County, Florida",Residential,Residential
"Everglades City, Florida",Natural attractions,Nature & Outdoors
"Gainesville, Georgia",Residential,Residential
"Anchorage, Alaska",Natural attractions,Nature & Outdoors
"Culver City, California",Urban Attractions,Urban & Downtown
"Santa Clara, California",Urban Attractions,Urban & Downtown
"Charleroi, Pennsylvania",Residential,Residential
"Plymouth, Massachusetts",Historical,Historical & Cultural
"Queens, New York",Urban Attractions,Urban & Downtown
"West Sedona, Arizona",Natural attractions,Nature & Outdoors
"Baker, California",Natural attractions,Nature & Outdoors
"Houston, Texas",Urban Attractions,Urban & Downtown
"Munising, Michigan",Natural attractions,Nature & Outdoors
"Jersey City, New Jersey",Urban Attractions,Urban & Downtown
"Death Valley Junction, California",Natural attractions,Nature & Outdoors
"Key Largo, Florida",Beaches,Beach & Waterfront
"Round Rock, Texas",Residential,Residential
"Delray Beach, Florida",Beaches,Beach & Waterfront
"Columbus, Ohio",Urban Attractions,Urban & Downtown
"Westminster, California",Residential,Residential
"Bryce Canyon City, Utah",Natural attractions,Nature & Outdoors
"Fish Creek, Wisconsin",Beaches,Beach & Waterfront
"Coachella, California",Music and Entertainment,Entertainment & Culture
"Eaton Center, New Hampshire",Natural attractions,Nature & Outdoors
"Berkeley, California",Educational,Education
"Galveston, Texas",Beaches,Beach & Waterfront
"Arlington, Washington",Residential,Residential
"Woodstock, Vermont",Historical,Historical & Cultural
"Tyler, Texas",Residential,Residential
"Plattsburgh, New York",Residential,Residential
"Sedona, Arizona",Natural attractions,Nature & Outdoors
"Fort Lauderdale, Florida",Beaches,Beach & Waterfront
"Newport, Rhode Island",Beaches,Beach & Waterfront
"Memphis, Tennessee",Music and Entertainment,Entertainment & Culture
"Depoe Bay, Oregon",Natural attractions,Nature & Outdoors
"Ogunquit, Maine",Beaches,Beach & Waterfront
"Cupertino, California",Urban Attractions,Urban & Downtown
"Seneca, Arizona",Natural attractions,Nature & Outdoors
"Manhattan Beach, California",Beaches,Beach & Waterfront
"Santa Margarita, California",Natural attractions,Nature & Outdoors
"Morro Bay, California",Beaches,Beach & Waterfront
"San Carlos, Arizona",Natural attractions,Nature & Outdoors
"Costa Mesa, California",Urban Attractions,Urban & Downtown
"La Jolla, California",Beaches,Beach & Waterfront
St. Louis,Urban Attractions,Urban & Downtown
"Dolan Springs, Arizona",Natural attractions,Nature & Outdoors
"San Bernardino, California",Urban Attractions,Urban & Downtown
"Pleasant Hill, California",Residential,Residential
"Key Biscayne, Florida",Beaches,Beach & Waterfront
"El Matador State Beach Malibu, California",Beaches,Beach & Waterfront
"Badwater, California",Natural attractions,Nature & Outdoors
"Coral Gables, Florida",Residential,Residential
"Boca Raton, Florida",Beaches,Beach & Waterfront
"Victor, Idaho",Natural attractions,Nature & Outdoors
"Half Moon Bay, California",Beaches,Beach & Waterfront
"Fort Myers, Florida",Beaches,Beach & Waterfront
"San Diego Country Estates, California",Residential,Residential
"Stanford, California",Educational,Education
"Ormond-by-the-Sea, Florida",Beaches,Beach & Waterfront
"Wilkes-Barre, Pennsylvania",Urban Attractions,Urban & Downtown
"Ogden, Utah",Urban Attractions,Urban & Downtown
"Milford, Connecticut",Residential,Residential
"Atlantic City, New Jersey",Casinos,Entertainment & Culture
"Moonstone, California",Beaches,Beach & Waterfront
"El Centro, California",Residential,Residential
"Soda Springs, Idaho",Natural attractions,Nature & Outdoors
"Great Falls, Virginia",Natural attractions,Nature & Outdoors
"Bronx, New York",Urban Attractions,Urban & Downtown
"Amboy, California",Natural attractions,Nature & Outdoors
"Kings Beach, California",Beaches,Beach & Waterfront
"Aspen, Colorado",Skiing,Sports & Recreation
"Ventura, California",Beaches,Beach & Waterfront
"Valle, Arizona",Natural attractions,Nature & Outdoors
"Plano, Texas",Residential,Residential
"Henderson, Nevada",Casinos,Entertainment & Culture
"Calexico, California",Residential,Residential
"Waltham, Massachusetts",Urban Attractions,Urban & Downtown
"Wall Street, New York",Urban Attractions,Urban & Downtown
"Daytona Beach Shores, Florida",Beaches,Beach & Waterfront
"Lake Havasu City, Arizona",Beaches,Beach & Waterfront
"Sandy, Utah",Residential,Residential
"Stuart, Florida",Beaches,Beach & Waterfront
"Page, Arizona",Natural attractions,Nature & Outdoors
"Enterprise, Nevada",Residential,Residential
"Othello, Washington",Residential,Residential
"North Barstow, California",Residential,Residential
"Cape Canaveral, Florida",Beaches,Beach & Waterfront
"Jackson, Wyoming",Skiing,Sports & Recreation
"Pismo Beach, California",Beaches,Beach & Waterfront
"Staten Island, New York",Urban Attractions,Urban & Downtown
"Hurricane, Utah",Natural attractions,Nature & Outdoors
"Saint Helena, California",Wine Region,Entertainment & Culture
"Napa, California",Wine Region,Entertainment & Culture
"Victorville, California",Residential,Residential
"Avon Lake, Ohio",Residential,Residential
"Marlboro, Massachusetts",Residential,Residential
"Calabasas, California",Residential,Residential
"Kissimmee, Florida",Theme parks,Amusement & Theme Parks
"Savannah, Georgia",Historical,Historical & Cultural
"Forest Hills, New York",Residential,Residential
"Raleigh, North Carolina",Urban Attractions,Urban & Downtown
"Menifee, California",Residential,Residential
"Meadview, Arizona",Natural attractions,Nature & Outdoors
"Mandan, North Dakota",Residential,Residential
"South Titusville, Florida",Residential,Residential
"Buffalo, New York",Urban Attractions,Urban & Downtown
"Moab, Utah",Natural attractions,Nature & Outdoors
"Oljato-Monument Valley, Arizona",Natural attractions,Nature & Outdoors
"Lake Minnewaska, New York",Natural attractions,Nature & Outdoors
"Island Park, Idaho",Natural attractions,Nature & Outdoors
"Crystal Bay, Nevada",Casinos,Entertainment & Culture
"Pocatello, Idaho",Residential,Residential
"Southfield, Michigan",Residential,Residential
"White City, Oregon",Residential,Residential
"Mountain Pass, California",Natural attractions,Nature & Outdoors
"Sacramento, California",Urban Attractions,Urban & Downtown
"Rosemont, Illinois",Urban Attractions,Urban & Downtown
"Nelson, Nevada",Historical,Historical & Cultural
"Zion National Park, Utah",Natural attractions,Nature & Outdoors
"Long Beach, New York",Beaches,Beach & Waterfront
"Akron, Ohio",Urban Attractions,Urban & Downtown
"Sunny Isles Beach, Florida",Beaches,Beach & Waterfront
"Pewaukee, Wisconsin",Beaches,Beach & Waterfront
"Pacifica, California",Beaches,Beach & Waterfront
"Mukilteo, Washington",Residential,Residential
"Fort Wayne, Indiana",Urban Attractions,Urban & Downtown
"Greenville, South Carolina",Urban Attractions,Urban & Downtown
"White Plains, New York",Urban Attractions,Urban & Downtown
"Charleston, South Carolina",Historical,Historical & Cultural
"Grand Rapids, Michigan",Urban Attractions,Urban & Downtown
"Fairhaven, Washington",Historical,Historical & Cultural
"Wareham, Massachusetts",Residential,Residential
"LaGrange, Indiana",Residential,Residential
"Lansing, Iowa",Residential,Residential
"Portsmouth, New Hampshire",Historical,Historical & Cultural
"North Myrtle Beach, South Carolina",Beaches,Beach & Waterfront
"Fort Lee, New Jersey",Residential,Residential
"Baltimore County, Maryland",Residential,Residential
"Eastport, New York",Residential,Residential
"Ohio City, Ohio",Residential,Residential
"Brownfield, Texas",Residential,Residential
"Borrego Springs, California",Natural attractions,Nature & Outdoors
"Pemaquid Point, Maine",Beaches,Beach & Waterfront
"Anderson, South Carolina",Residential,Residential
"Avondale, Arizona",Residential,Residential
"Mountain House, California",Residential,Residential
"Pioneertown, California",Natural attractions,Nature & Outdoors
"Cameron, Arizona",Natural attractions,Nature & Outdoors
"Albany, New York",Urban Attractions,Urban & Downtown
"Tiburon, California",Natural attractions,Nature & Outdoors
"Coconino, Arizona",Natural attractions,Nature & Outdoors
"Artesia, California",Residential,Residential
"Northbrook, Illinois",Residential,Residential
"Fountain Valley, California",Residential,Residential
"Atlantic Beach, New York",Beaches,Beach & Waterfront
"Romeoville, Illinois",Residential,Residential
"Kanab, Utah",Natural attractions,Nature & Outdoors
"Estacada, Oregon",Natural attractions,Nature & Outdoors
"Knoxville, Tennessee",Urban Attractions,Urban & Downtown
"Venice Beach, Florida",Beaches,Beach & Waterfront
"Jamestown, North Dakota",Residential,Residential
"Virginia Beach, Virginia",Beaches,Beach & Waterfront
"Sequoia, California",Natural attractions,Nature & Outdoors
"Coulee Dam, Washington",Natural attractions,Nature & Outdoors
"Medora, North Dakota",Natural attractions,Nature & Outdoors
"Charlevoix, Michigan",Natural attractions,Nature & Outdoors
"Harrison, New Jersey",Residential,Residential
"Morristown, New Jersey",Historical,Historical & Cultural
"San Simeon, California",Natural attractions,Nature & Outdoors
"Bismarck, North Dakota",Urban Attractions,Urban & Downtown
"Baltimore, Maryland",Urban Attractions,Urban & Downtown
"The Wave, Arizona",Natural attractions,Nature & Outdoors
"Presque Isle, Michigan",Natural attractions,Nature & Outdoors
"Cooperstown, New York",Historical,Historical & Cultural
"Watkins Glen, New York",Natural attractions,Nature & Outdoors
"Praha, Texas",Residential,Residential
"Vermont, Illinois",Residential,Residential
"Calistoga, California",Wine Region,Entertainment & Culture
"Munuscong, Michigan",Natural attractions,Nature & Outdoors
"South Miami, Florida",Urban Attractions,Urban & Downtown
"Fairplay, Colorado",Natural attractions,Nature & Outdoors
"Montauk, New York",Beaches,Beach & Waterfront
"Fredonia, Arizona",Natural attractions,Nature & Outdoors
"Mystic, Connecticut",Historical,Historical & Cultural
"Saugatuck, Michigan",Beaches,Beach & Waterfront
"Seward, Alaska",Natural attractions,Nature & Outdoors
"Essex, California",Natural attractions,Nature & Outdoors
"Beatty, Nevada",Natural attractions,Nature & Outdoors
"New City, New York",Residential,Residential
"East Brunswick, New Jersey",Residential,Residential
"Mercer County, New Jersey",Residential,Residential
"Sunset Beach, California",Beaches,Beach & Waterfront
"Virgin, Utah",Natural attractions,Nature & Outdoors
"Glenview, Illinois",Residential,Residential
"Alpena, Michigan",Natural attractions,Nature & Outdoors
"Cannon Beach, Oregon",Beaches,Beach & Waterfront
"Pahrump, Nevada",Casinos,Entertainment & Culture
"Montgomery County, Maryland",Residential,Residential
"Lone Pine, California",Natural attractions,Nature & Outdoors
"Atlanta, Illinois",Residential,Residential
"Dublin, California",Residential,Residential
"Seekonk, Massachusetts",Residential,Residential
"Ruidoso, New Mexico",Natural attractions,Nature & Outdoors
"Ithaca, New York",Educational,Education
"Saint Charles, Illinois",Residential,Residential
"Torrance, California",Urban Attractions,Urban & Downtown
"Klamath Falls, Oregon",Natural attractions,Nature & Outdoors
"Como, Colorado",Natural attractions,Nature & Outdoors
"Arlington, Texas",Urban Attractions,Urban & Downtown
"Johnston, Iowa",Residential,Residential
"Central Park, New York",Urban Attractions,Urban & Downtown
"Mason, Ohio",Residential,Residential
"Buena Vista, Colorado",Natural attractions,Nature & Outdoors
"Flamingo, Florida",Beaches,Beach & Waterfront
"South Padre Island, Texas",Beaches,Beach & Waterfront
"Horseshoe Bend, Nevada",Natural attractions,Nature & Outdoors
"Tusayan, Arizona",Natural attractions,Nature & Outdoors
"Sault Ste. Marie, Michigan",Natural attractions,Nature & Outdoors
"Soledad, California",Natural attractions,Nature & Outdoors
"Goleta, California",Beaches,Beach & Waterfront
"Moss Point, Mississippi",Residential,Residential
"Richmond, Virginia",Urban Attractions,Urban & Downtown
"Oakland, California",Urban Attractions,Urban & Downtown
"Montgomery, New Jersey",Residential,Residential
"Highland Park, Texas",Residential,Residential
"Nottingham, Pennsylvania",Residential,Residential
"Cheyenne, Wyoming",Urban Attractions,Urban & Downtown
"Mobile County, Alabama",Residential,Residential
"Glenwood Springs, Colorado",Natural attractions,Nature & Outdoors
"Nipton, California",Natural attractions,Nature & Outdoors
"Natchez, Mississippi",Historical,Historical & Cultural
"Tukwila, Washington",Urban Attractions,Urban & Downtown
"East Nashville, Tennessee",Urban Attractions,Urban & Downtown
"Fruita, Utah",Natural attractions,Nature & Outdoors
"Springfield, Missouri",Urban Attractions,Urban & Downtown
"Downey, Idaho",Residential,Residential
"Gaithersburg, Maryland",Residential,Residential
"Pulaski, New York",Residential,Residential
"Grapevine, Texas",Urban Attractions,Urban & Downtown
"Durham, North Carolina",Urban Attractions,Urban & Downtown
"Juneau, Alaska",Natural attractions,Nature & Outdoors
"Madison County, Virginia",Natural attractions,Nature & Outdoors
"Woodbury, Minnesota",Residential,Residential
"Hull, Massachusetts",Beaches,Beach & Waterfront
"Ketchikan, Alaska",Natural attractions,Nature & Outdoors
"Corolla, North Carolina",Beaches,Beach & Waterfront
"Bar Harbor, Maine",Natural attractions,Nature & Outdoors
"La Grande, Oregon",Residential,Residential
"Pascagoula, Mississippi",Residential,Residential
"White Sands, New Mexico",Natural attractions,Nature & Outdoors
"Topock, Arizona",Natural attractions,Nature & Outdoors
"Gloucester, Massachusetts",Beaches,Beach & Waterfront
"Tulare, California",Residential,Residential
"Chester County, Pennsylvania",Residential,Residential
"Elizabeth, New Jersey",Urban Attractions,Urban & Downtown
"Brookville, Ohio",Residential,Residential
"Put-in-Bay, Ohio",Beaches,Beach & Waterfront
"Waco, Texas",Urban Attractions,Urban & Downtown
"West Palm Beach, Florida",Beaches,Beach & Waterfront
"Southport, North Carolina",Beaches,Beach & Waterfront
"Charlottesville, Virginia",Historical,Historical & Cultural
"Rocky Mount, North Carolina",Residential,Residential
"Kent, Washington",Urban Attractions,Urban & Downtown
"Branson, Missouri",Urban Attractions,Urban & Downtown
"Oasis, Nevada",Natural attractions,Nature & Outdoors
"Marathon, Florida",Beaches,Beach & Waterfront
"Hudson, New York",Residential,Residential
"Park City, Utah",Skiing,Sports & Recreation
"Kitty Hawk, North Carolina",Beaches,Beach & Waterfront
"Alexandria, Virginia",Urban Attractions,Urban & Downtown
"Pescadero, California",Natural attractions,Nature & Outdoors
"Sugar Land, Texas",Urban Attractions,Urban & Downtown
"Salida, Colorado",Natural attractions,Nature & Outdoors
"Granada Hills, California",Residential,Residential
"Loudoun County, Virginia",Residential,Residential
"Homer Glen, Illinois",Residential,Residential
"Santa Rosa, California",Wine Region,Entertainment & Culture
"Skagway, Alaska",Natural attractions,Nature & Outdoors
"Ashburn, Virginia",Residential,Residential
"Zzyzx, California",Natural attractions,Nature & Outdoors
"Universal Studios, Florida",Theme parks,Amusement & Theme Parks
"Dillon, Colorado",Skiing,Sports & Recreation
"Sheridan, Wyoming",Natural attractions,Nature & Outdoors
"Bisbee, Arizona",Historical,Historical & Cultural
"Vallejo, California",Urban Attractions,Urban & Downtown
"Independence, Colorado",Natural attractions,Nature & Outdoors
"Lake, Michigan",Beaches,Beach & Waterfront
"Boyne Falls, Michigan",Skiing,Sports & Recreation
"Fillmore, California",Residential,Residential
"Columbia, South Carolina",Urban Attractions,Urban & Downtown
"Chula Vista, California",Urban Attractions,Urban & Downtown
"Bonita Springs, Florida",Beaches,Beach & Waterfront
"Petoskey, Michigan",Natural attractions,Nature & Outdoors
"Saint Marys, Ohio",Beaches,Beach & Waterfront
"Norwich, Connecticut",Residential,Residential
"Carnation, Washington",Residential,Residential
"Green Harbor, Massachusetts",Beaches,Beach & Waterfront
"Edison, New Jersey",Urban Attractions,Urban & Downtown
"St. Pete Beach, Florida",Beaches,Beach & Waterfront
"High Point, North Carolina",Residential,Residential
"West Allis, Wisconsin",Residential,Residential
"Frederick, Maryland",Residential,Residential
"Charlotte, North Carolina",Urban Attractions,Urban & Downtown
"Potomac, Maryland",Residential,Residential
"Colorado Springs, Colorado",Natural attractions,Nature & Outdoors
"Pasadena, California",Urban Attractions,Urban & Downtown
"Anna Maria, Florida",Beaches,Beach & Waterfront
"Seal Beach, California",Beaches,Beach & Waterfront
"Tampa, Florida",Urban Attractions,Urban & Downtown
"Yorkville, Wisconsin",Residential,Residential
"Martin Lake, Minnesota",Natural attractions,Nature & Outdoors
"County of Orange, California",Urban Attractions,Urban & Downtown
"Fort Myers Beach, Florida",Beaches,Beach & Waterfront
"Parker, Arizona",Natural attractions,Nature & Outdoors
"Alta, Utah",Skiing,Sports & Recreation
"Rockville, Maryland",Residential,Residential
"Spearfish, South Dakota",Natural attractions,Nature & Outdoors
"Crested Butte, Colorado",Skiing,Sports & Recreation
"Del Mar, California",Beaches,Beach & Waterfront
"Cocoa Beach, Florida",Beaches,Beach & Waterfront
"Southampton, New York",Beaches,Beach & Waterfront
"Forest, Virginia",Residential,Residential
"Quincy, Massachusetts",Residential,Residential
"Hayward, California",Urban Attractions,Urban & Downtown
"Burlingame, California",Urban Attractions,Urban & Downtown
"Salton Sea Beach, California",Natural attractions,Nature & Outdoors
"Saint Paul, Minnesota",Urban Attractions,Urban & Downtown
"Universal City, California",Theme parks,Amusement & Theme Parks
"Jamaica, New York",Urban Attractions,Urban & Downtown
"Downtown San Francisco, California",Urban Attractions,Urban & Downtown
"Frankfort, Kentucky",Urban Attractions,Urban & Downtown
"Embarcadero, California",Urban Attractions,Urban & Downtown
"Mountain Top, Pennsylvania",Natural attractions,Nature & Outdoors
